equipment_name;equipment_id
BU-06_Bouteur Moyen (750, D6, D61 )_KOMATSU D61PX;BU-06
BU-07_Bouteur Moyen (750, D6, D61 )_KOMATSU D61PX;BU-07
BU-09_Bouteur Petit (450, 650)_KOMATSU D39EX-24;BU-09
HR-03_Hors-Route Articule 35 Tonnes_KOMATSU HM400;HR-03
L-04-28_Chargeur sur roues_DEERE 624K;L-04-28
L-05-28_Chargeur sur roues_DEERE 624K;L-05-28
L-06-28_Chargeur sur roues_DEERE 624K;L-06-28
L-22_Chargeur sur roues_KOMATSU WA320;L-22
L-23_Chargeur sur roues_KOMATSU WA320;L-23
L-25_Chargeur sur roues_TAKEUCHI TW95C;L-25
MP-11_Excavatrice 3.5 Tonnes_BOBCAT E42;MP-11
PE-24_Excavatrice 8 Tonnes_TAKEUCHI TB290;PE-24
PE-26_Excavatrice 8 Tonnes_KOMATSU PC88 MR10;PE-26
PE-27_Excavatrice 45 Tonnes_KOMATSU PC490;PE-27
PE-29_Excavatrice 35 Tonnes_KOMATSU PC360 lc11;PE-29
PE-30_Excavatrice 35 Tonnes_KOMATSU PC360;PE-30
PE-31_Excavatrice 35 Tonnes_KOMATSU PC360;PE-31
PE-32_Excavatrice 35 Tonnes_KOMATSU PC360;PE-32
PE-34_Excavatrice 35 Tonnes_KOMATSU PC360;PE-34
PE-35_Excavatrice 25 Tonnes_KOMATSU PC240;PE-35
PE-39_Excavatrice 15 Tonnes_KOMATSU PC170;PE-39
PE-41_Excavatrice 45 Tonnes_KOMATSU PC490;PE-41
PE-45_Excavatrice 35 Tonnes_KOMATSU PC360;PE-45
PE-47_Excavatrice 35 Tonnes_KOMATSU PC360;PE-47
RC-01-27_Rouleau Compacteur 84po-87po_WACKER RC70;RC-01-27
